image,tag,result,k,object_ratio,background_ratio,k_x_object_ratio,k_x_background_ratio,perturbed_pixel,pixel_perturbed_percentage,total_pixel
n02091134_whippet,background,safe,1568.0,0.9835379464285714,0.016462053571428603,1542.1875,25.81250000000005,25.81250000000005,0.0514439174,50176.0
n02091134_whippet,object,safe,1568.0,0.9835379464285714,0.016462053571428603,1542.1875,25.81250000000005,1542.1875,3.0735560826,50176.0
n02091244_Ibizan_hound,whole-image,safe,1568.0,0.4705038265306122,0.5294961734693878,737.7499999999999,830.2500000000001,1568.0,3.125,50176.0
n02091244_Ibizan_hound,background,safe,1568.0,0.4705038265306122,0.5294961734693878,737.7499999999999,830.2500000000001,830.2500000000001,1.6546755421,50176.0
n02091244_Ibizan_hound,object,safe,1568.0,0.4705038265306122,0.5294961734693878,737.7499999999999,830.2500000000001,737.7499999999999,1.4703244579,50176.0
n02085620_Chihuahua,whole-image,safe,25088.0,0.376953125,0.623046875,9457.0,15631.0,25088.0,50.0,50176.0
n02085620_Chihuahua,background,safe,25088.0,0.376953125,0.623046875,9457.0,15631.0,15631.0,31.15234375,50176.0
n02085620_Chihuahua,object,safe,25088.0,0.376953125,0.623046875,9457.0,15631.0,9457.0,18.84765625,50176.0
n02085782_Japanese_spaniel,whole-image,unsafe,25088.0,0.7737364477040817,0.22626355229591832,19411.5,5676.499999999999,25088.0,50.0,50176.0
n02085782_Japanese_spaniel,background,unsafe,25088.0,0.7737364477040817,0.22626355229591832,19411.5,5676.499999999999,5676.499999999999,11.3131776148,50176.0
n02085782_Japanese_spaniel,object,unsafe,25088.0,0.7737364477040817,0.22626355229591832,19411.5,5676.499999999999,19411.5,38.6868223852,50176.0
n02085936_Maltese_dog,whole-image,safe,25088.0,0.7213408801020408,0.2786591198979592,18097.0,6991.000000000001,25088.0,50.0,50176.0
n02085936_Maltese_dog,background,safe,25088.0,0.7213408801020408,0.2786591198979592,18097.0,6991.000000000001,6991.000000000001,13.9329559949,50176.0
n02085936_Maltese_dog,object,safe,25088.0,0.7213408801020408,0.2786591198979592,18097.0,6991.000000000001,18097.0,36.0670440051,50176.0
n02086079_Pekinese,whole-image,safe,25088.0,0.8430125956632653,0.15698740433673475,21149.5,3938.5000000000014,25088.0,50.0,50176.0
n02086079_Pekinese,background,safe,25088.0,0.8430125956632653,0.15698740433673475,21149.5,3938.5000000000014,3938.5000000000014,7.8493702168,50176.0
n02086079_Pekinese,object,safe,25088.0,0.8430125956632653,0.15698740433673475,21149.5,3938.5000000000014,21149.5,42.1506297832,50176.0
n02086240_Shih-Tzu,whole-image,unsafe,25088.0,0.9091198979591836,0.09088010204081642,22807.999999999996,2280.0000000000023,25088.0,50.0,50176.0
n02086240_Shih-Tzu,background,unsafe,25088.0,0.9091198979591836,0.09088010204081642,22807.999999999996,2280.0000000000023,2280.0000000000023,4.544005102,50176.0
n02086240_Shih-Tzu,object,unsafe,25088.0,0.9091198979591836,0.09088010204081642,22807.999999999996,2280.0000000000023,22807.999999999996,45.455994898,50176.0
n02086646_Blenheim_spaniel,whole-image,safe,25088.0,0.5211057079081632,0.47889429209183676,13073.5,12014.5,25088.0,50.0,50176.0
n02086646_Blenheim_spaniel,background,safe,25088.0,0.5211057079081632,0.47889429209183676,13073.5,12014.5,12014.5,23.9447146046,50176.0
n02086646_Blenheim_spaniel,object,safe,25088.0,0.5211057079081632,0.47889429209183676,13073.5,12014.5,13073.5,26.0552853954,50176.0
n02086910_papillon,whole-image,unsafe,25088.0,0.7560786033163265,0.24392139668367352,18968.5,6119.500000000001,25088.0,50.0,50176.0
n02086910_papillon,background,unsafe,25088.0,0.7560786033163265,0.24392139668367352,18968.5,6119.500000000001,6119.500000000001,12.1960698342,50176.0
n02086910_papillon,object,unsafe,25088.0,0.7560786033163265,0.24392139668367352,18968.5,6119.500000000001,18968.5,37.8039301658,50176.0
n02088094_Afghan_hound,whole-image,safe,25088.0,0.6546954719387755,0.34530452806122447,16425.0,8663.0,25088.0,50.0,50176.0
